sms_stemmed,Actual Classification,Predicted Classification
collect ur laptop,0,0.0
someon year lt gt toyota camri like mr olayiwola mileag lt gt clean need know much sell rais dough soon land sell holla back,0,0.0
lmao ok wont need hair anymor,0,0.0
went project centr,0,0.0
gud,0,0.0
sday train start today,0,0.0
sort code acc bank natwest repli confirm sent right person,0,0.0
sorri got thing may pub later,0,0.0
buy,0,0.0
good night go sleep,0,0.0
class earli tomorrow thu tri smoke lt gt,0,0.0
haha better late ever way could swing,0,0.0
check room befor activ,0,0.0
town ju take mrt later,0,0.0
hi roger cl,0,0.0
ca believ attach see everi day know best get babe go teach class midnight,0,0.0
interest like,0,0.0
noe la wana pei bf oso rite lor day den,0,0.0
alright sure let know leav,0,0.0
practis curtsey,0,0.0
yep derek hous see sunday lt,0,0.0
shop lor rain mah hard leav orchard,0,0.0
aiyah sorri lor watch tv watch forgot check phone,0,0.0
dun dun thk abt alreadi concentr ur paper,0,0.0
hi good thanku wish,0,0.0
guess somebodi know secretli fanci wan na find give us call landlin,1,0.0
okay book alreadi includ one bugi,0,0.0
soon real thing princess make wet,0,0.0
sorri meet call later,0,0.0
yeah probabl earlier,0,0.0
privat account statement fone show point call identifi code expir,1,1.0
ok great thanx lot,0,0.0
ill lt gt ok,0,0.0
naughti littl thought better flirt flirt flirt rather love someon gettin hurt hurt hurt gud nyt,0,0.0
ha ha nan yalrigu kothi chikku share mani thing wit far told bodi even utter word abt ur trust much tell plz nxt time dont use word chikku,0,0.0
ok prob,0,0.0
lol gon na last month cash left lt gt case collect week caus announc blog,0,0.0
ye come nyc audiit tri reloc,0,0.0
yup finish,0,0.0
confirm eat esplanad,0,0.0
messag great doctor india drink appi fizz contain cancer caus age,0,0.0
next lt gt hour imma flip shit,0,0.0
urgent costa del sol holiday await collect call toclaim sae tc stockport,1,1.0
mani buy,0,0.0
lol well qualiti aint bad aint complain,0,0.0
happend,0,0.0
aldrin rakhesh ex rtm,0,0.0
tension face smile face wast face innoc face face face face face face lt gt face,0,0.0
oh realli make air talent,0,0.0
free entri weekli comp chanc win ipod txt pod get entri std txt rate appli detail,1,1.0
sister law hope great month say hey abiola,0,0.0
ok give minut think see btw alibi cut hair whole time,0,0.0
go sleep well take rest,0,0.0
yar els thk sort funni thing,0,0.0
wait still clear sure sarcast want live us,0,0.0
hey leav big deal take care,0,0.0
hi want join st later meet five call class,0,0.0
total disappoint text craziest shit got,0,0.0
good need drug,0,0.0
custom loyalti offer new mobil txtauction txt word start get ctxt tc,1,1.0
yan jiu liao sat go bugi vill one frm den hop parco nb sun go cine frm den hop orc mrt hip hop,0,0.0
go walmart stay,0,0.0
wait yesterday,0,0.0
nt yet abt,0,0.0
ok,0,0.0
yup ok go home look time msg xuhui go learn may lesson,0,0.0
mm time dont like fun,0,0.0
dear voucher holder next meal us use follow link pc enjoy dine experiencehttp,1,1.0
born god said anoth born god said oh knew one day two becom freind forev,0,0.0
one day train,0,0.0
ok gon na head usf like fifteen minut,0,0.0
check nuerologist,0,0.0
splashmobil choos tone wk subscrit servic weekli tone cost one credit kick back enjoy,1,1.0
like new hous,0,0.0
come,0,0.0
gon na pick burger way home ca even move pain kill,0,0.0
sad stori man last week wife wish parent forgot kid went work even colleagu wish,0,0.0
honey boo miss,0,0.0
long sinc scream princess,0,0.0
alway make thing bigger,0,0.0
want talk,0,0.0
guarante latest nokia phone ipod player prize txt word collect,1,1.0
pay lt decim gt lakh,0,0.0
that cool like photo sexi,0,0.0
cheer card time year alreadi,0,0.0
go,0,0.0
sorri never hear unless book one kinda joke thet realli look skinni white girl one line much camera someth like cast look,0,0.0
ever notic drive anyon go slower idiot everyon drive faster maniac,1,0.0
sore throat scratch talk,0,0.0
town alon,0,0.0
dear case come cochin pl call bfore shall also reach tell day engag an holiday,0,0.0
shb ok lor thanx,0,0.0
yo chad gymnast class wan na take site say christian class,0,0.0
realli pig leh sleep much dad wake smth eat lunch today,0,0.0
realli still tonight babe,0,0.0
babe enjoyin yourjob seem gettin well hunni hope ure ok take care i  llspeak soonlot lovem,0,0.0
got call tool,0,0.0
get lion england tone repli lionm mono lionp poli go origin best tone network oper rate appli,1,1.0
nice wait text right gon na pay ticket ya know,0,0.0
want new nokia colour phone deliv tomorrow free minut mobil free text free camcord repli call,1,1.0
ask princess,0,0.0
sir send group mail check,0,0.0
got lt gt way could pick,0,0.0
thk dun haf hint forum alreadi lor co told ron darren go tell shuhui,0,0.0
oh come tomorrow,0,0.0
havent,0,0.0
take exam march,0,0.0
ok good later come find lucki told go earlier later pple take finish,0,0.0
let send free anonym mask send messag see potenti abus,1,0.0
mind ask happen dont say uncomfort,0,0.0
thank rington order refer number mobil charg tone arriv pleas call custom servic,1,1.0
got divorc lol,0,0.0
omg make wed chapel frontiervil get good stuff,0,0.0
sell ton coin sell coin someon thru paypal voila money back life pocket,0,0.0
oh rite well im best mate pete went longer week,0,0.0
ya ok dinner,0,0.0
apo movi,0,0.0
though shd go fun bar town someth sound ok,0,0.0
talk,0,0.0
hmm think lor,0,0.0
sorri call later,0,0.0
kaiez enjoy ur tuition gee thk second option sound beta go yan jiu den msg,0,0.0
yesterday true true,0,0.0
freemsg hi babi wow got new cam mobi wan na hot pic fanci chat im rpli chat hlp,1,1.0
call ah,0,0.0
privat account statement show point call identifi expir,1,1.0
yeh indian nice tho kane bit shud go drink sometim soon mite hav go da work laugh soon love pete,0,0.0
go buy mum present ar,0,0.0
great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,0,0.0
regret inform nh made never actual report yor local hospit sorri inconveni,0,0.0
subscrib best mobil content servic uk per day send stop helplin,1,1.0
wonder world ur style ur smile ur person ur natur ur sm love good morn dear,0,0.0
winner valu network custom hvae select receiv reward collect call valid hour,1,1.0
bear pic nick tom pete dick fact type tri gay chat photo upload call stop text call,1,1.0
ur today plan,0,0.0
nope still market,0,0.0
use hope agent drop sinc book thing year whole boston nyc experi,0,0.0
wake alreadi thanx tau sar piah quit nice,0,0.0
hi mate rv hav nice hol messag say hello coz haven  t sent age start drive stay road rvx,0,0.0
engalnd telli decid wo let watch mia elliot kiss damn,0,0.0
ask anthoni dad bf,0,0.0
master buy bb co sale bf,0,0.0
tell rob mack gf theater,0,0.0
ok wif co like tri new thing scare dun like mah co said loud,0,0.0
tick tick tick could die loneli know need,0,0.0
save money wed lingeri choos superb select nation deliveri brought weddingfriend,1,1.0
haha get use drive usf man know lot stoner,0,0.0
oh take test,0,0.0
lol know awesom phone could click delet right want,0,0.0
yo guess drop,0,0.0
shhhhh nobodi suppos know,0,0.0
yep get program slack,0,0.0
cool text head,0,0.0
mm food da,0,0.0
yo im right yo work,0,0.0
ok go sleep hope meet,0,0.0
blank blank wat blank lol,0,0.0
today vodafon number end select receiv award number match call receiv award,1,1.0
brand new mobil music servic live free music player arriv shortli instal phone brows content top artist,1,1.0
edrunk sorri iff pthi make dancc drum basq ihav fun ro,0,0.0
forward hi mailbox messag sm alert messag match pleas call back retriev messag match,1,1.0
ofcours also upload song,0,0.0
plural noun research,0,0.0
price claim call,1,1.0
lol need cash nitro hurri come crash,0,0.0
gud mrng dear nice day,0,0.0
idea soon get convert live,0,0.0
pete phone still jenni colleg,0,0.0
tomarrow want got court lt decim gt come bu stand,0,0.0
hi happi new year dont mean intrud pl let know much tuition paid last semest much semest thank,0,0.0
freemsg unlimit free call activ smartcal txt call unlimit call help stop txt stop landlineonli,1,1.0
ur si,0,0.0
prize go anoth custom polo ltd suit london pleas call back busi,1,0.0
get home,0,0.0
know know send chat let find rcvd ldn year,1,1.0
get cash togeth text jason,0,1.0
wont wat wit guy,0,0.0
ok lor reach messag,0,0.0
put stuff road keep get slipperi,0,0.0
convey regard,0,0.0
heart sori,0,0.0
yo sorri shower sup,0,0.0
ok anyway need chang said,0,0.0
call,0,0.0
go sch mon si need take smth,0,0.0
call tell call claim prize enter ur mobil person detail prompt care,1,1.0
know god creat gap one made come amp fill gap hold hand,0,0.0
got room soon put clock back til shout everyon get realis wahay anoth hour bed,0,0.0
aight wat happen side,0,0.0
tonight yeah,0,0.0
hi wkend ok journey terribl wk good huge back log mark,0,0.0
say never answer text,0,0.0
hmv bonu special pound genuin hmv voucher answer easi question play send hmv info,1,1.0
take care financi help,0,0.0
spring come earli yay,0,0.0
still come tonight,0,0.0
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1,0.0
ooh gon na start belli danc moseley wed want join cafe,0,0.0
normal,0,0.0
today vodafon number end select receiv award number match call receiv award,1,1.0
hey goin meet want meal donyt feel like cuz get last bu home he sweet latelyxxx,0,0.0
oi ami parchi na kicchu kaaj kort iccha korch na phone ta tul na plz plz,0,0.0
murder coz man murder lt gt th public holiday close includ post,0,0.0
urgent tri contact today draw show prize guarante call land line claim valid,1,1.0
good afternoon love goe day sleep hope well boytoy think,0,0.0
guess want alon time could show watch,0,0.0
ok,0,0.0
offic da,0,0.0
aight tomorrow around lt gt,0,0.0
let know chang next even appendix age rang howev imposs chill let know,0,0.0
pleas dont say like hi hi hi,0,0.0
dunno wat get,0,0.0
lol real told dad cancer,0,0.0
good word word may leav dismay mani time,0,0.0
romant,0,0.0
fine happi amp,0,0.0
special select receiv pound award call line close cost cs appli ag promo,1,1.0
real babi want bring inner tigress,0,0.0
thank tesco quit nice gone speak soon,0,0.0
lot sick thing go round take easi hope feel better soon lol,0,0.0
sorri mate phone didnt write love kate,0,0.0
hi move pub would great cud come,0,0.0
cuz ibor wan na studi,0,0.0
sorri miss call let talk time,1,0.0
costa del sol holiday await collect call toclaim sae tc stockport,1,1.0
hmm uncl inform pay school directli pl buy food,0,0.0
aiyar dun disturb liao thk lot aft ur cupboard come,0,0.0
part tomorrow,0,0.0
lt gt buck bank fee fix better call bank find,0,0.0
lt gt guess easi enough,0,0.0
hello boytoy geeee miss alreadi woke wish bed cuddl love,0,0.0
univers southern california,0,0.0
boat still mom check yo half nake,0,0.0
got person stori,0,0.0
let want hous,0,0.0
told hr want post chennai work,0,0.0
could say die man feel sad go want know would probabl gone late night,0,0.0
de ask like,0,0.0
drinkin ok,0,0.0
cool text,0,0.0
bruce amp fowler mom car ca park long stori,0,0.0
free call,0,0.0
ok lor wat time finish,0,0.0
yup bath liao,0,0.0
ok come ur home half hour,0,0.0
neva mind,0,0.0
got tea sure flavour,0,0.0
meant apolog text get drug lt gt night,0,0.0
ur current pound maxim ur send collect cc po box,1,1.0
object bf come,0,0.0
wot student discount get book,0,0.0
simpli sit watch match,0,0.0
bold lt gt,0,0.0
found way get anoth app phone eh go net cafe take job geeee need babe crave see,0,0.0
sorri call later meet,0,0.0
wat make peopl dearer de happi dat feel meet de pain feel miss dem,0,0.0
thk shd ok said plu minu leav line paragraph,0,0.0
realli good dhanush rock,0,0.0
haha cant tmr forfeit haha,0,0.0
bore housew chat date rate landlin,1,1.0
trust even,0,0.0
husband,0,0.0
opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl,0,0.0
secret admir look make contact think ur,1,1.0
pay like lt gt yr difficult,0,0.0
alright omw got ta chang order,0,0.0
way school pl send ashley number,0,0.0
also thk fast xy suggest one dun wan go rain leh got gd,0,0.0
late need go get da laptop,0,0.0
scream mean,0,0.0
beauti truth read care heart feel light someon feel heavi someon leav good night,0,0.0
okay lor wah like def wont let us go haha say term condit,0,0.0
ever one foot,0,0.0
babe want dont babi im nasti thing filthyguy fanci rude time sexi bitch go slo hard txt xxx slo,1,1.0
jason say cool pick place like hour,0,0.0
taka lor wat time wan come look us,0,0.0
wan na art,0,0.0
pl send correct name da,0,0.0
board work fine issu overh also reslov still softwar inst pend come around clock,0,0.0
first gain lt gt kg sinc took second done blood sugar test ok blood pressur within normal limit worri,0,0.0
say hi get ass back south tampa prefer kegger,0,0.0
eh send wrongli lar,0,0.0
congrat mobil videophon call videochat wid ur mate play java game dload polyph music nolin rentl,1,1.0
probabl lt gt,0,0.0
favor pl convey birthday wish dnt forget today birthday shija,0,0.0
may call later pl,0,0.0
also sir sent email log usc payment portal send anoth messag explain thing back home great weekend,0,0.0
well weather cali great complex great need car move freeli tax outrag great place sad part miss home,0,0.0
comingdown later,0,0.0
call one pick phone ask alreadi said ok,0,0.0
could seen recognis face,0,0.0
ard like dat lor juz meet mrt station dun haf come,0,0.0
yun ubi one say wan call look got ubi cre ubi tech,0,0.0
check,0,0.0
multimedia messag,0,0.0
gosh pain spose better come,0,0.0
import inform orang user today lucki day log onto http fantast surpris await,1,1.0
whatev im pretti piss,0,0.0
ju hope true missin co realli missin done anyth feel guilti yet,0,0.0
got part nottingham hr good thing love man much hey ho,0,0.0
sure make sure know ai smokin yet,0,0.0
kick new season free goal news ur mobil txt ur club name eg villa,1,1.0
wake gt,0,0.0
wow healthi old airport rd lor cant thk anyth els bath dog later,0,0.0
lt gt fast approach wish happi new year happi sankranti happi republ day happi valentin day happi shivratri happi ugadi happi fool day happi may day happi independ day happi friendship mother father teacher children day amp happi birthday happi ganesh festiv happi dasara happi diwali happi christma lt gt good morn afternoon even night rememberi first wish raj,0,0.0
still paint ur wall,0,0.0
today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli,1,1.0
famou quot develop abil listen uncondit without lose temper self confid mean,0,0.0
decid peopl care stuff vote care stuff loser,0,0.0
world suffer lot violenc bad peopl silenc good peopl gud night,0,0.0
come karnan car pleas wait till directli goto doctor,0,0.0
way go back,0,0.0
awww dat sweet think someth nice time tonight ill probabl txt later co im lone xxx,0,0.0
greet consid excus,0,0.0
mean got epi fine,0,0.0
happi new year hope good semest,0,0.0
storm msg wen lift phne say knw wt real mean hello name knw dat girl margaret girlfrnd grahmbel invnt telphon moral one name person bt girlfrnd,0,0.0
pl dont play other life,0,0.0
ok bu come soon come otherwis tomorrow,0,0.0
reach sch alreadi,0,0.0
aiyo pleas got time meh,0,0.0
aight grab someth eat text back mu,0,0.0
came hostel go sleep plz call class hrishi,0,0.0
slept,0,0.0
hello yeah got bath need hair come done yeah,0,0.0
schedul next week town weekend,0,0.0
download fring app,0,1.0
oki,0,0.0
allo brave buse taken train triumph mean jolli good rest week,0,0.0
great run ttyl,0,0.0
guy flash go call call madam take care oh,0,0.0
wow boy back take uk tour win vip ticket vip club txt club trackmarqu ltd info,1,1.0
fine hope good take care,0,0.0
nope go sch fri quit earli lor co my si got paper da morn,0,0.0
darlin youphon im athom youwanna,0,0.0
pick drop,0,0.0
yeah would leav hour least sound,0,0.0
congratul,0,1.0
thanx lot,0,0.0
urgent tri contact today draw show prize guarante call land line claim valid,1,1.0
contact date servic someon know find call mobil landlin,1,1.0
either idea know anyplac someth,0,0.0
mmm fuck merri christma,0,0.0
okay well thank clarif,0,0.0
got ten buck jay noncomitt,0,0.0
sorri didntgiv ya bellearli hunni bedbut mite go thepub uwana mt load luv,0,0.0
pl call da happen,0,0.0
moji inform save live thank,0,0.0
contact date servic someon know find call land line,1,1.0
like love arrang,0,0.0
know lt gt around,0,0.0
hi kate even hope see tomorrow bit bloodi babyjontet txt back xxx,0,0.0
happi babi alright take job hope fine send kiss make smile across sea,0,0.0
thanx puttin da fone,0,0.0
new theori argument win situat lose person dont argu ur friend kick amp say alway correct,0,0.0
argh spotti anyway thing rememb research provinc sterl place look,0,0.0
guess got screwd,0,0.0
night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,0,0.0
uncl timi help clear car,0,0.0
dunno lei decid lor abt leona oop tot ben go msg,0,0.0
yeah usual guy town definit peopl around know,0,0.0
got like lt gt get later though get whatev feel like,0,0.0
tee hee lectur cheeri bye bye,0,0.0
wen ur lovabl bcum angri wid dnt take coz angri childish true way show deep affect care luv kettoda manda nice day da,0,0.0
finish miss plenti,0,0.0
oop mum somerset bit far back tomo see soon,0,0.0
exam februari wish great day,0,0.0
sex ur mobil free sexi pic jordan text babe everi wk get sexi celeb pic,1,1.0
dont gim lip caveboy,0,0.0
need come home give good lovin,0,0.0
lord ring return king store repli lotr june chanc win lotr soundtrack cd stdtxtrate repli stop end txt,1,1.0
ooooooh forgot tell get yovil phone,0,0.0
compani terrif food realli nice,0,0.0
serious spell name,0,0.0
da good good unsold,0,0.0
submit da project tmr rite,0,0.0
sure see come bit,0,0.0
pl go today lt gt dont want excus,0,0.0
boy wherear friendsar thekingshead come canlov,0,0.0
okey dokey bit sort stuff,0,0.0
ok thk got wan come wat,0,0.0
long get repli defer admiss til next semest,0,0.0
happen dear silent tens,0,0.0
project fren lor,0,0.0
